pnbi_input,pnbi,pnbi_std,ni0,ni0_std,te0,te0_std,tite,tite_std,taue,taue_std,ti0,ti0_std,tripleprod,tripleprod_std
1.5,1312472.4350836233,15936.833004145785,3.6764478985589973e+19,1.0115634624879296e+18,3760.0689043559933,362.73712645462916,0.8783496695440302,0.009324181294148368,0.2496161764239802,0.007550445012655045,3302.65527960387,320.53319256814683,3.030849614354194e+22,1.2804052274886762e+21
2.5,2188642.9177444954,26609.115093776298,3.6695980605713863e+19,1.019994943844739e+18,3785.2714905446937,342.1220422894483,0.894985279136649,0.007627249822321691,0.22728061183101655,0.0061886678387385475,3387.7622615731425,307.55232036358973,2.82549025156366e+22,1.1254764112108547e+21
4.5,3942505.089065009,48044.95462336317,3.6553567825208726e+19,1.0330931924767958e+18,3851.8804419298453,313.4543174375917,0.9287648357686615,0.006265987995279843,0.1940362678620357,0.004499895082067721,3577.4911060494924,292.12412885031756,2.5374135125709756e+22,9.43325793342487e+20
5.5,4819503.730640255,58782.11586197634,3.6483658573618913e+19,1.0387083099800246e+18,3892.5746575881126,302.72885116427653,0.9438315153938512,0.005793954967146453,0.18130694701756053,0.003948140321739527,3673.93463785509,286.61376261672973,2.4302125169255465e+22,8.837585545924744e+20
6.5,5696735.407721264,69537.99446971895,3.641433566785839e+19,1.0429903156962406e+18,3936.436366292226,293.7315403562081,0.9574557904934251,0.005706470226157937,0.1703913776291695,0.003533183817729769,3768.9637928153893,282.1306408165239,2.338524750787973e+22,8.385730779639775e+20
7.5,6574349.140123745,80322.0297372685,3.6349569306834264e+19,1.0479135094001848e+18,3978.58729402464,287.0245064106659,0.9701600467092623,0.005903523920226872,0.1609164208067709,0.003197603615497382,3859.866435007822,279.44852950479077,2.257729514615155e+22,8.023652961282007e+20
8.5,7452218.976687955,91190.44799975588,3.628616052195926e+19,1.0506205264884387e+18,4020.305535423599,279.7809649151561,0.9822791586764125,0.0062428026785962465,0.15260589649157522,0.0029323569218763098,3949.062338958017,275.966656661929,2.186786184273341e+22,7.725071572202032e+20
9.5,8330349.889653986,102058.0362870537,3.622398653748089e+19,1.0580834096479372e+18,4061.599517552426,273.94265810181764,0.9939438776451505,0.006633306256883006,0.14524697868370479,0.002710843361877089,4037.0019739177305,273.6132971640919,2.124038149762908e+22,7.49777845188849e+20
10.5,9208453.239400242,112980.10322114939,3.6162338727577633e+19,1.0615996777354456e+18,4099.512958477641,270.42209139473397,1.005193455795474,0.007086202741946803,0.13862320848994666,0.002512008104242537,4120.803597810468,273.37438879315295,2.0657338801320974e+22,7.27383550799352e+20
11.5,10087046.426989205,123958.00361631847,3.6102847664030835e+19,1.0659736359040504e+18,4138.528551180379,265.7941914486737,1.0162711892802883,0.007626294400016917,0.13272429948510062,0.0023565567353347437,4205.867332578512,271.95661378040114,2.0153360340799885e+22,7.106307511007368e+20
12.5,10965912.030588891,134956.1263258579,3.604432890038078e+19,1.0697842835676841e+18,4175.4725579604365,261.33656074599685,1.0270962412460536,0.008145779411417144,0.12739144213579393,0.002221352591135185,4288.6121697072085,270.56415807851215,1.969218792464656e+22,6.956219495067218e+20
13.5,11845031.685464479,145956.0644187078,3.5987304027012784e+19,1.0734426572823799e+18,4211.198908015018,256.4000655036508,1.0377110448923446,0.008680711742288648,0.12254242406972482,0.0020965551116083284,4370.007619085764,268.56873332775456,1.927160892911372e+22,6.820136398640069e+20
14.5,12724873.677002257,157085.34294874908,3.593463876843238e+19,1.0781715163900074e+18,4247.671289653314,250.44664943852186,1.048260649171852,0.00924529084758349,0.11815880510221011,0.0020021663167322508,4452.666663560621,265.4542841665623,1.890599584244749e+22,6.724611311883957e+20
15.5,13604555.39550959,168031.16402767328,3.58801290269048e+19,1.081414494060802e+18,4281.907308245201,245.91525392889554,1.0585378836244004,0.009762578431178908,0.11409046835996486,0.0019125098207442644,4532.5610999457285,263.6457097571313,1.8554404755868695e+22,6.62383971487362e+20
16.5,14484555.689606907,179084.36417968795,3.582807994055832e+19,1.0856175490399105e+18,4313.636733291715,241.8568449807295,1.0686372046700325,0.010241237031456265,0.11033988403391444,0.001829972162804885,4609.712700626829,262.2055324030961,1.822342134563633e+22,6.532621497283827e+20
17.5,15364676.949206874,190103.6593518884,3.5775528425837707e+19,1.0894283008937729e+18,4345.847240051689,237.21634320426645,1.0785509627188226,0.01073466396325268,0.1068718090129702,0.0017570651112282943,4687.217724586688,260.0682882419152,1.7921086880397564e+22,6.453263651364462e+20
18.5,16245073.01809011,201164.1716593244,3.5723924922803773e+19,1.0930475557266994e+18,4376.893314366684,232.53725420413517,1.0882762133934114,0.011175073504246246,0.10365246044573798,0.0016893052410395758,4763.268882585912,257.74826473822543,1.7637778379666576e+22,6.377082057275512e+20
19.5,17125620.43382294,212414.83459906673,3.5672888171366244e+19,1.0976955793394604e+18,4406.714701663322,228.58792378002923,1.0978320068881908,0.011612163495971491,0.10065567886271622,0.0016289840097690217,4837.83244471074,256.11520020231455,1.7371102280499224e+22,6.312804949405191e+20
20.5,18010982.174956396,223599.08670419935,3.5691868035906085e+19,1.0928038804817133e+18,4562.678847197494,159.63268088879119,1.111088875373307,0.011347949180088475,0.09869341158289173,0.0015874126419552473,5069.541709022241,184.76903050846565,1.7857725412803646e+22,6.439838560971779e+20
21.5,18901188.41448916,234771.83413494803,3.564380259407681e+19,1.0958427201006752e+18,4591.675147859469,151.8998358398944,1.1204871511783212,0.011750342818339856,0.09602241266973398,0.0015365790117591578,5144.913005561353,178.5487762612429,1.7608999430190013e+22,6.376444480732474e+20
22.5,19783039.902758066,245992.74781621734,3.559708361425123e+19,1.0992782540966303e+18,4619.594949726417,143.287382110865,1.1295985636506163,0.012095046588007034,0.09354107789569083,0.0014905967580336008,5218.287819858602,171.229927365304,1.7375800362190011e+22,6.318256190633515e+20
23.5,20665126.33846704,257228.32440138288,3.5550888425242948e+19,1.1022137095673207e+18,4647.071770134541,134.7237718755775,1.1385525934006018,0.012463958662130556,0.09120679839130177,0.0014447778570614133,5290.935615605407,163.96144242504883,1.7155767270428262e+22,6.261281107710531e+20
24.5,21547581.08857708,268524.10503642686,3.550615269796713e+19,1.1061390908700691e+18,4673.016595361956,126.96096946637637,1.147370651320463,0.012803089902830906,0.08900806133691522,0.0014061388306059264,5361.68209465178,157.47901514442108,1.6944705240688669e+22,6.213477007810705e+20
25.5,22430164.133245956,279730.87353420816,3.546189536185395e+19,1.1096750433328384e+18,4698.490851637106,118.38690823909532,1.1559903750834364,0.013137763019511271,0.0869301523978661,0.0013659430187061218,5431.410201910073,150.13112888086255,1.674345150757352e+22,6.163899841541843e+20
26.5,23313100.342334375,290994.0859196509,3.541911884496945e+19,1.1111890313598285e+18,4722.359306318243,111.70181176614209,1.1644939161860475,0.01342374270614563,0.08496562921814055,0.0013311722605354813,5499.158682252158,144.700721760508,1.654921058645761e+22,6.108840908253444e+20
27.5,24196114.222634353,302174.5355829794,3.537494722787553e+19,1.1139091782187602e+18,4746.148319128889,103.89383974757887,1.1728462238285184,0.013761975747417691,0.0831036785343388,0.001297310063600555,5566.502133820388,138.2534510130354,1.6364337525382747e+22,6.06345142053562e+20
28.5,25079459.37322403,313468.1497336594,3.5331700737390424e+19,1.1163929556040922e+18,4768.902818064715,97.33092350110927,1.1810578522957373,0.014065801684125176,0.08133548864102363,0.0012676288862164826,5632.350120110601,133.09325035940532,1.6185803630539348e+22,6.019585729154411e+20
29.5,25963221.350049995,324881.8798806207,3.528984507467439e+19,1.1188330060797006e+18,4790.863320128248,90.38250779395055,1.1891280006707874,0.014362126870069998,0.07965418545595128,0.0012400752546151395,5696.949721351114,127.61493530641205,1.6014033742388837e+22,5.97775198880355e+20
