input,modeh,modeh_std,q0,q0_std,pnbi,pnbi_std,ni0,ni0_std,te0,te0_std,tite,tite_std,taue,taue_std,betan,betan_std,pohm,pohm_std,q0,q0_std,ti0,ti0_std,tripleprod,tripleprod_std
1.0,1.0,0.0,8.194416053628151,0.8075964710582104,3918780.1416210216,608630.2009171704,8.205895376079657e+18,3.34806872557479e+17,5027.592911528998,90.50746740246134,1.0663002986488632,0.030736117133432796,0.12182933817407773,0.006210892342175063,0.01637909800380758,0.00036986563959741896,126213.42391257772,192670.41911516557,8.194416053628151,0.8075964710582104,5360.923823048279,182.1892844453096,5.359416346245028e+21,3.825351523762988e+20
1.25,1.0,0.0,8.44144705063807,0.46776462007999625,4530690.1420806525,533494.0620243093,1.1867073664971874e+19,7.734322809299387e+17,4698.268313888292,129.51012115375312,1.0973360336619316,0.02795254964292036,0.13348280092323336,0.005968258993378555,0.013934576666972658,0.00036107071863268495,140060.7973806127,186313.01415637936,8.44144705063807,0.46776462007999625,5155.579116641709,193.5050071563328,8.166696293556563e+21,6.781682647494577e+20
1.5,1.0,0.0,8.650908967557385,0.2678295013886194,5029761.214469929,451408.02172283287,1.6143920586561864e+19,7.667294374627026e+17,4841.247882443741,176.16468610060167,1.0530481699350183,0.018536095052744863,0.14607390578724286,0.005297511827558375,0.01271068937463218,0.0002932008830545343,149562.95377485864,189118.17325445707,8.650908967557385,0.2678295013886194,5098.067222809164,206.0747471430405,1.2022290341601697e+22,7.489302137986634e+20
1.75,1.0,0.0,8.714173673246153,0.2653895320882303,5417856.757378164,374155.20286089124,1.972694048488814e+19,7.45046658784184e+17,4900.868078816865,154.08391409951724,1.04032726578065,0.015494745098204895,0.15584194581721753,0.004656075396334233,0.011987611856950327,0.0002578107920208626,163877.9429300063,190818.75620000428,8.714173673246153,0.2653895320882303,5098.506688387216,177.37498756020395,1.5674261564767416e+22,7.900953851827105e+20
2.0,1.0,0.0,8.656432990370435,0.2830445075407949,5721705.905951767,289753.6679678531,2.301218057145508e+19,7.763378753203497e+17,4739.6638372678735,160.2796795376259,1.0521521855164229,0.015174299325274119,0.1648610164468326,0.004403843845474692,0.011355449214014263,0.00022552124071563857,173610.5671546008,190224.56756707872,8.656432990370435,0.2830445075407949,4986.847664994549,183.33473194317958,1.8919159918812564e+22,8.586190964339945e+20
2.25,1.0,0.0,8.690802396108777,0.2874052754504504,5967070.038841438,233648.93350340173,2.604122991413339e+19,7.887297118946126e+17,4718.801294344195,141.52343547986658,1.0667783830500233,0.014478651310961566,0.17265607498779836,0.004063506343985573,0.01104247811701562,0.00019150286778858572,176457.77040106233,187623.1704400154,8.690802396108777,0.2874052754504504,5033.915214714858,165.71382120866727,2.263337151705935e+22,9.208925884836689e+20
2.5,1.0,0.0,8.73415899277219,0.28476930466698586,6160967.57093012,187886.2886634668,2.8874938900771762e+19,8.155960845544175e+17,4674.599240299811,118.85141238894165,1.0828578490228045,0.013020513611345739,0.17978039359412548,0.0038603760972756567,0.01083440459005401,0.00016723256741737907,173129.92040996364,187206.90106342186,8.73415899277219,0.28476930466698586,5061.926478394689,142.3661179235221,2.6277208910006174e+22,9.844263739213974e+20
2.75,1.0,0.0,8.781857685800063,0.28377672204042664,6313489.275166385,151433.57390558053,3.1589998095273914e+19,8.500663791474401e+17,4586.146017515795,101.38463377556648,1.0973241720792377,0.011476434046711689,0.18640498068088224,0.003777377235451209,0.010699786938690963,0.0001499697032638464,176427.46284924677,187333.89641279288,8.781857685800063,0.28377672204042664,5032.488881705013,123.0737823484279,2.9633976774847845e+22,1.0452601235472636e+21
3.0,1.0,0.0,8.70840516336399,0.44309700548561365,6440282.705708566,123342.8513322251,3.323971150022473e+19,8.842048796203475e+17,4723.5143673712855,65.68266440858184,1.0973814122854373,0.010632868009138704,0.1881318550646114,0.0031947572756915363,0.010672606954428659,0.00014397377964812838,197685.3321055407,185584.16686469453,8.70840516336399,0.44309700548561365,5183.496867416455,87.85143003057225,3.241473115789392e+22,1.0701079617960892e+21
3.25,1.0,0.0,8.490286325280394,0.8277973729160241,6531509.432952042,102399.2403522383,3.6211517072482955e+19,9.429833840681699e+17,4501.045842408346,67.0814210965902,1.1127608823040962,0.009095739034956538,0.1960355905260645,0.003449411308908716,0.01061149984355087,0.00011711207223065315,193100.37218303044,187295.00459836095,8.490286325280394,0.8277973729160241,5008.5877428894955,85.13562190436488,3.5554692872373593e+22,1.1546032898709358e+21
3.5,1.0,0.0,8.11575904429683,1.267209221486273,6606729.56401523,83147.89676309348,3.8880673614210466e+19,9.987757006896564e+17,4364.99917357081,64.26728937676272,1.119316897931475,0.007781608823468308,0.2025224296580231,0.0036473787563929376,0.01062462079612369,0.0001008468738013501,194195.04393384428,189570.368543594,8.11575904429683,1.267209221486273,4885.817334434731,79.55154703819609,3.8471944321179815e+22,1.2362419913334907e+21
3.75,1.0,0.0,7.723935854233811,1.6222486515028633,6668446.915752601,67275.26672803536,4.1477721041902535e+19,1.0732786236820073e+18,4256.732318950247,61.704779369630806,1.1223266007398842,0.006727498812831822,0.20866714757381158,0.0038580955721647693,0.010686711471846274,9.115216294962939e-05,195709.33060525224,191245.6416272351,7.723935854233811,1.6222486515028633,4777.443913787035,74.94033160098515,4.134895736345763e+22,1.3381684486163543e+21
4.0,1.0,0.0,7.413827882192005,1.8473971148773591,6717922.591007846,54046.80673817795,4.419250974187386e+19,1.129989167212283e+18,4150.027849885388,59.930963206091974,1.1227741901673192,0.006178172908386448,0.2151073057446088,0.0041570185671706865,0.010791748468754869,8.695460590751656e-05,196465.08862869724,193843.6289696979,7.413827882192005,1.8473971148773591,4659.544158326887,72.00826220020129,4.429424045276649e+22,1.4404526815015322e+21
4.25,1.0,0.0,6.998049368229682,2.0542927309803525,6760542.46415591,43798.85731148186,4.67853889493397e+19,1.183746034818197e+18,4064.1588511199434,59.09191889076805,1.1207684269891578,0.005822650559032174,0.2209234952286266,0.004409801933977982,0.010912626571181536,8.71209015172368e-05,198358.3525753084,196449.5375960796,6.998049368229682,2.0542927309803525,4554.980922603761,70.32914426176724,4.7080244792504265e+22,1.536861325290798e+21
4.5,1.0,0.0,6.20277518860833,2.3221343186644106,6792213.087665949,36199.86379797397,4.893745722652582e+19,1.2393506045936986e+18,4017.9055635730415,53.15399154876378,1.1158905268238546,0.005517067270654037,0.2251517334473994,0.004392688691204443,0.010994844342024593,8.571277220511957e-05,206046.1379610284,196248.55509540753,6.20277518860833,2.3221343186644106,4483.542756064017,63.320874621392164,4.9401258234327765e+22,1.5980721936805402e+21
4.75,1.0,0.0,5.869849274784282,2.3827951689190687,6815755.316786655,28378.890676437422,5.146926262740853e+19,1.2773776997394852e+18,3947.389170016195,53.75139323225603,1.1128113688483652,0.005546192639169089,0.2310552957612063,0.004708937962627367,0.011138005931384046,8.837228839408582e-05,208435.6026560532,198047.79659691415,5.869849274784282,2.3827951689190687,4392.699545662934,63.69580951219249,5.2239062278852514e+22,1.697677727105058e+21
5.0,1.0,0.0,5.096596111027345,2.3626995090245564,6834974.661877399,23316.886999107068,5.368221369635595e+19,1.3495738487503634e+18,3900.8926904892614,50.570221607810446,1.102955020046377,0.006204435880977947,0.2354760355561036,0.004730612664728917,0.011238942731469321,8.976828676033389e-05,214553.69671256412,198497.36404400066,5.096596111027345,2.3626995090245564,4302.509175637349,60.80144244385627,5.4387480077938136e+22,1.7767792237890196e+21
